pays;date;value
AUS;2019-10;1.03
AUS;2019-11;1.15
AUS;2019-12;1.2
AUS;2020-01;1.15
AUS;2020-02;0.98
AUS;2020-03;0.89
AUS;2020-04;0.86
AUS;2020-05;0.91
AUS;2020-06;0.92
AUS;2020-07;0.88
AUS;2020-08;0.89
AUS;2020-09;0.9
AUS;2020-10;0.82
AUS;2020-11;0.87
AUS;2020-12;0.98
AUS;2021-01;1.05
AUS;2021-02;1.32
AUS;2021-03;1.69
AUS;2021-04;1.65
AUS;2021-05;1.62
AUS;2021-06;1.52
AUS;2021-07;1.25
AUS;2021-08;1.12
AUS;2021-09;1.28
AUS;2021-10;1.72
AUS;2021-11;1.81
AUS;2021-12;1.61
DEU;2019-10;-0.4695455
DEU;2019-11;-0.352381
DEU;2019-12;-0.2994444
DEU;2020-01;-0.3136364
DEU;2020-02;-0.466
DEU;2020-03;-0.5413637
DEU;2020-04;-0.4495
DEU;2020-05;-0.5165
DEU;2020-06;-0.4342857
DEU;2020-07;-0.5230435
DEU;2020-08;-0.5233333
DEU;2020-09;-0.5240909
DEU;2020-10;-0.6072727
DEU;2020-11;-0.6147619
DEU;2020-12;-0.6185
DEU;2021-01;-0.5835
DEU;2021-02;-0.4455
DEU;2021-03;-0.3647826
DEU;2021-04;-0.325
DEU;2021-05;-0.2235
DEU;2021-06;-0.2886364
DEU;2021-07;-0.4513636
DEU;2021-08;-0.5386364
DEU;2021-09;-0.3627273
DEU;2021-10;-0.2042857
DEU;2021-11;-0.3136364
DEU;2021-12;-0.3842857
CAN;2019-10;1.449546
CAN;2019-11;1.4995
CAN;2019-12;1.6045
CAN;2020-01;1.492273
CAN;2020-02;1.294737
CAN;2020-03;0.8190909
CAN;2020-04;0.6571429
CAN;2020-05;0.551
CAN;2020-06;0.5613636
CAN;2020-07;0.5163636
CAN;2020-08;0.5635
CAN;2020-09;0.5595238
CAN;2020-10;0.6028572
CAN;2020-11;0.6885
CAN;2020-12;0.7309524
CAN;2021-01;0.8055
CAN;2021-02;1.099474
CAN;2021-03;1.496522
CAN;2021-04;1.516191
CAN;2021-05;1.524
CAN;2021-06;1.425
CAN;2021-07;1.251429
CAN;2021-08;1.191905
CAN;2021-09;1.263
CAN;2021-10;1.597
CAN;2021-11;1.685714
CAN;2021-12;1.4515
ITA;2019-10;1.00355
ITA;2019-11;1.26594
ITA;2019-12;1.37011
ITA;2020-01;1.27499
ITA;2020-02;0.9555
ITA;2020-03;1.55118
ITA;2020-04;1.79913
ITA;2020-05;1.76204
ITA;2020-06;1.4552
ITA;2020-07;1.19629
ITA;2020-08;1.03189
ITA;2020-09;0.98121
ITA;2020-10;0.77007
ITA;2020-11;0.66399
ITA;2020-12;0.57801
ITA;2021-01;0.61566
ITA;2021-02;0.59041
ITA;2021-03;0.70399
ITA;2021-04;0.79727
ITA;2021-05;0.98446
ITA;2021-06;0.8746
ITA;2021-07;0.74775
ITA;2021-08;0.62758
ITA;2021-09;0.77658
ITA;2021-10;0.95487
ITA;2021-11;1.00969
ITA;2021-12;1.04735
FRA;2019-10;-0.1574
FRA;2019-11;-0.0204
FRA;2019-12;0.0362
FRA;2020-01;-0.007
FRA;2020-02;-0.1772
FRA;2020-03;-0.0584
FRA;2020-04;0.0578
FRA;2020-05;-0.0301
FRA;2020-06;-0.044
FRA;2020-07;-0.1478
FRA;2020-08;-0.1713
FRA;2020-09;-0.2072
FRA;2020-10;-0.2966
FRA;2020-11;-0.3262
FRA;2020-12;-0.3352
FRA;2021-01;-0.3052
FRA;2021-02;-0.1504
FRA;2021-03;-0.0701
FRA;2021-04;-0.0056
FRA;2021-05;0.2068
FRA;2021-06;0.153
FRA;2021-07;-0.0058
FRA;2021-08;-0.1143
FRA;2021-09;0.04
FRA;2021-10;0.2
FRA;2021-11;0.09
FRA;2021-12;0.05
MEX;2019-10;6.87
MEX;2019-12;7.14
MEX;2020-01;6.85
MEX;2020-02;6.47
MEX;2020-04;7.37
MEX;2020-05;6.06
MEX;2020-07;5.81
MEX;2020-08;5.77
MEX;2020-09;5.68
MEX;2020-11;6.07
MEX;2020-12;5.67
MEX;2021-01;5.61
MEX;2021-03;6.25
MEX;2021-04;6.68
MEX;2021-06;6.54
MEX;2021-07;6.9
MEX;2021-08;6.98
MEX;2021-10;7.61
MEX;2021-11;7.54
MEX;2021-12;7.57
ZAF;2019-10;8.93
ZAF;2019-11;9.13
ZAF;2019-12;9.12
ZAF;2020-01;9.02
ZAF;2020-02;8.94
ZAF;2020-03;10.85
ZAF;2020-04;11.23
ZAF;2020-05;10.07
ZAF;2020-06;9.96
ZAF;2020-07;10.27
ZAF;2020-08;10.19
ZAF;2020-09;10.22
ZAF;2020-10;10.39
ZAF;2020-11;9.97
ZAF;2020-12;9.79
ZAF;2021-01;9.71
ZAF;2021-02;9.5
ZAF;2021-03;10.09
ZAF;2021-04;10.03
ZAF;2021-05;9.82
ZAF;2021-06;9.53
ZAF;2021-07;9.62
ZAF;2021-08;9.57
ZAF;2021-09;9.62
ZAF;2021-10;10.06
ZAF;2021-11;10.02
ZAF;2021-12;9.9
USA;2019-10;1.71
USA;2019-11;1.81
USA;2019-12;1.86
USA;2020-01;1.76
USA;2020-02;1.5
USA;2020-03;0.87
USA;2020-04;0.66
USA;2020-05;0.67
USA;2020-06;0.73
USA;2020-07;0.62
USA;2020-08;0.65
USA;2020-09;0.68
USA;2020-10;0.79
USA;2020-11;0.87
USA;2020-12;0.93
USA;2021-01;1.08
USA;2021-02;1.26
USA;2021-03;1.61
USA;2021-04;1.64
USA;2021-05;1.62
USA;2021-06;1.52
USA;2021-07;1.32
USA;2021-08;1.28
USA;2021-09;1.37
USA;2021-10;1.58
USA;2021-11;1.56
USA;2021-12;1.47
GBR;2019-10;0.6373
GBR;2019-11;0.765
GBR;2019-12;0.8308
GBR;2020-01;0.7235
GBR;2020-02;0.633
GBR;2020-03;0.4609
GBR;2020-04;0.3577
GBR;2020-05;0.2743
GBR;2020-06;0.278
GBR;2020-07;0.2094
GBR;2020-08;0.2717
GBR;2020-09;0.273
GBR;2020-10;0.3058
GBR;2020-11;0.3836
GBR;2020-12;0.3224
GBR;2021-01;0.3672
GBR;2021-02;0.6222
GBR;2021-03;0.8456
GBR;2021-04;0.8515
GBR;2021-05;0.9058
GBR;2021-06;0.8549
GBR;2021-07;0.6979
GBR;2021-08;0.644
GBR;2021-09;0.8023
GBR;2021-10;1.083
GBR;2021-11;0.9394
GBR;2021-12;0.84
KOR;2019-10;1.577
KOR;2019-11;1.75
KOR;2019-12;1.653
KOR;2020-01;1.656
KOR;2020-02;1.54
KOR;2020-03;1.485
KOR;2020-04;1.504
KOR;2020-05;1.394
KOR;2020-06;1.392
KOR;2020-07;1.36
KOR;2020-08;1.373
KOR;2020-09;1.5
KOR;2020-10;1.507
KOR;2020-11;1.61
KOR;2020-12;1.675
KOR;2021-01;1.731
KOR;2021-02;1.845
KOR;2021-03;2.04
KOR;2021-04;2.041
KOR;2021-05;2.131
KOR;2021-06;2.103
KOR;2021-07;1.976
KOR;2021-08;1.905
KOR;2021-09;2.061
KOR;2021-10;2.399
KOR;2021-11;2.355
KOR;2021-12;2.187
JPN;2019-10;-0.15
JPN;2019-11;-0.08
JPN;2019-12;-0.025
JPN;2020-01;-0.065
JPN;2020-02;-0.155
JPN;2020-03;0.005
JPN;2020-04;-0.04
JPN;2020-05;0
JPN;2020-06;0.03
JPN;2020-07;0.01
JPN;2020-08;0.045
JPN;2020-09;0.015
JPN;2020-10;0.04
JPN;2020-11;0.03
JPN;2020-12;0.02
JPN;2021-01;0.055
JPN;2021-02;0.15
JPN;2021-03;0.12
JPN;2021-04;0.09
JPN;2021-05;0.08
JPN;2021-06;0.05
JPN;2021-07;0.015
JPN;2021-08;0.02
JPN;2021-09;0.065
JPN;2021-10;0.095
JPN;2021-11;0.05
JPN;2021-12;0.07
IND;2019-10;6.54
IND;2019-11;6.64
IND;2019-12;6.85
IND;2020-01;6.82
IND;2020-02;6.66
IND;2020-03;6.37
IND;2020-04;6.68
IND;2020-05;5.92
IND;2020-06;5.86
IND;2020-07;5.81
IND;2020-08;6.01
IND;2020-09;6.03
IND;2020-10;5.95
IND;2020-11;5.89
IND;2020-12;5.89
IND;2021-01;5.94
IND;2021-02;6.2
IND;2021-03;6.35
IND;2021-04;6.28
IND;2021-05;6.23
IND;2021-06;6.27
IND;2021-07;6.21
IND;2021-08;6.28
IND;2021-09;6.19
IND;2021-10;6.36
IND;2021-11;5.8
